"32107-B-roartikel-Betzendahl-Reserve";"32107-Bueroartikel-Betzendahl-Reserve"
"awo-hauptstra-e-01";"awo-hauptstrasze-01"
"awo-hauptstra-e-02";"awo-hauptstrasze-02"
"B-NDNIS-90-DIE-GR-NEN-Lippe-Kreisgesch-fts";"BUeNDNIS-90-DIE-GRUeNEN-Lippe-KGS"
"Braunschweiger-Stra-e-25B";"Braunschweiger-Strasze-25B"
"Breite-Stra-e-13";"Breite-Strasze-13"
"B-rgerberatung-DT";"Buergerberatung-DT"
"B-rgerstiftung-Detmold";"Buergerstiftung-Detmold"
"B-roartikel-Betzendahl";"Bueroartikel-Betzendahl"
"B-roartikel-Betzendahl-GmbH-Reserve";"Bueroartikel-Betzendahl-GmbH-Reserve"
"Dammstra-e-14-FFBSU";"Dammstrasze-14-FFBSU"
"Dammstra-e-16-FFBSU";"Dammstrasze-16-FFBSU"
"Dammstra-e-Eckhaus-FFBSU";"Dammstrasze-Eckhaus-FFBSU"
"DAV-Bismarckstra-e";"DAV-Bismarckstrasze"
"Dein-Moment-Fotostudio-B-singfeld";"Dein-Moment-Fotostudio-Boesingfeld"
"Eichenm-llerhaus-1";"Eichenmuellerhaus-1"
"Eichenm-llerhaus-2";"Eichenmuellerhaus-2"
"Eichenm-llerhaus-3";"Eichenmuellerhaus-3"
"Ev-ref-KG-W-lfer-Knetterheide";"Ev-ref-KG-Wuelfer-Knetterheide"
"Ev-ref-Kirchengemeinde-B-singfeld-AP1";"Ev-ref-Kirchengemeinde-Boesingfeld-AP1"
"Ev-ref-Kirchengemeinde-B-singfeld-RP1";"Ev-ref-Kirchengemeinde-Boesingfeld-RP1"
"Ev-ref-Kirchengemeinde-B-singfeld-RP2";"Ev-ref-Kirchengemeinde-Boesingfeld-RP2"
"Ev-ref-Kirchengemeinde-B-singfeld-RP3";"Ev-ref-Kirchengemeinde-Boesingfeld-RP3"
"Fahrschule-Schr-der-Berlebeck";"Fahrschule-Schroeder-Berlebeck"
"Feuerwehr-Ger-tehaus";"Feuerwehr-Geraetehaus"
"Feuerwehrger-tehaus-H-rstmar";"Feuerwehrgeraetehaus-Hoerstmar"
"Feuerwehrger-tehaus-Lieme";"Feuerwehrgeraetehaus-Lieme"
"ff-anroechte_metallverarbeitung-kirchhoff_5";"ff-anroechte-metallverarbeitung-kirchhoff-5"
"FF-Lage-Bredestra-e";"FF-Lage-Bredestrasze"
"fflip-M-hnesee-Kuckuck-Sch-tzenstra-e";"fflip-Moehnesee-Kuckuck-Schuetzenstrasze"
"ff-lip-Moehnesee-C4-13";"fflip-Moehnesee-C4-13"
"Fl-chtlingshilfe-Lippe-EOL";"Fluechtlingshilfe-Lippe-EOL"
"Freibad-B-singfeld-AP1";"Freibad-Boesingfeld-AP1"
"Freibad-B-singfeld-RP2";"Freibad-Boesingfeld-RP2"
"Freibad-La-bruch-AP1";"Freibad-Laszbruch-AP1"
"Freibad-La-bruch-RP1";"Freibad-Laszbruch-RP1"
"Freibad-La-bruch-RP2";"Freibad-Laszbruch-RP2"
"freifunk-M-hnesee-Richtfunk-Wasserstation";"freifunk-Moehnesee-Richtfunk-Wasserstation"
"Freifunk-Sandstra-e-13";"Freifunk-Sandstrasze-13"
"Freifunk-Sch-tzenstra-e-8";"Freifunk-Schuetzenstrasze-8"
"FW-S-d";"FW-Sued"
"Gemeinde-Extertal-Rathaus-B-rgersaal";"Gemeinde-Extertal-Rathaus-Buergersaal"
"Gemeinde-Extertal-Rathaus-B-rgerservice";"Gemeinde-Extertal-Rathaus-Buergerservice"
"Gro-er-Schratweg-23-1-OG-EOL";"Groszer-Schratweg-23-1-OG-EOL"
"Gro-er-Schratweg-23-2-OG-EOL";"Groszer-Schratweg-23-2-OG-EOL"
"Gro-er-Schratweg-23-EG-EOL";"Groszer-Schratweg-23-EG-EOL"
"Hangar-21-AP-B-ro";"Hangar-21-AP-Buero"
"Hauptstra-e-18";"Hauptstrasze-18"
"Hexenb-rgermeisterhaus";"Hexenbuergermeisterhaus"
"Ingenieurb-ro-Schmidt-AP2";"Ingenieurbuero-Schmidt-AP2"
"KaffeeK-che";"KaffeeKueche"
"KPB-G-tersloh";"KPB-Guetersloh"
"Kramerstra-e";"Kramerstrasze"
"Landgericht-DT-Paulinenstra-e";"Landgericht-DT-Paulinenstrasze"
"Lange-Stra-e-32-FFBSU";"Lange-Strasze-32-FFBSU"
"Lange-Stra-e-38-FFBSU";"Lange-Strasze-38-FFBSU"
"LemgoDigital-Z-ndkerze";"LemgoDigital-Zuendkerze"
"leocom-awo-hermannstra-e";"leocom-awo-hermannstrasze"
"leocom-hauptstra-e27-02";"leocom-hauptstrasze27-02"
"Lipper-f-r-Lipper-Asphaltexistenzler-eV";"Lipper-fuer-Lipper-Asphaltexistenzler-eV"
"L-tkenbergstra-e-7-AP1";"L-tkenbergstrasze-7-AP1"
"L-tkenbergstra-e-7-RP1";"L-tkenbergstrasze-7-RP1"
"Mehrzweckhalle-Vo-heide";"Mehrzweckhalle-Voszheide"
"Mehrzweckraum-Vo-heide";"Mehrzweckraum-Voszheide"
"Moehnesee-B-ren-Apotkeke-Haupteingang";"Moehnesee-Baeren-Apotkeke-Haupteingang"
"Moehnesee-Hauptstra-e25-Gr-gerHaus";"Moehnesee-Hauptstrasze25-GroegerHaus"
"Moehnesee-LHK-Gro-er-Raum";"Moehnesee-LHK-Groszer-Raum"
"Moehnesee-Pfefferm-hle-Betriebsraum";"Moehnesee-Pfeffermuehle-Betriebsraum"
"Moehnesee-Rocco-gegen-ber-Theke";"Moehnesee-Rocco-gegenueber-Theke"
"Neue-Torstra-e-104";"Neue-Torstrasze-104"
"Rathaus-Lange-Stra-e";"Rathaus-Lange-Strasze"
"RB-D-rentrup-krvw";"RB-Doerentrup-krvw"
"Stadtb-cherei-2-Bad-Salzuflen";"Stadtbuecherei-2-Bad-Salzuflen"
"Stadtb-cherei-3-Bad-Salzuflen";"Stadtbuecherei-3-Bad-Salzuflen"
"Stadtb-cherei-Lemgo-AP1";"Stadtbuecherei-Lemgo-AP1"
"Stadtb-cherei-Lemgo-AP2";"Stadtbuecherei-Lemgo-AP2"
"Stadtb-cherei-Lemgo-AP3";"Stadtbuecherei-Lemgo-AP3"
"Stadtb-cherei-Lemgo-AP4";"Stadtbuecherei-Lemgo-AP4"
"SZ-Aspe-Sporthalle-Trib-ne";"SZ-Aspe-Sporthalle-Tribuene"
"TSV-B-singfeld-Gesch-ftsstelle";"TSV-B-singfeld-Geschaeftsstelle"
"Vers-hnungskirche";"Versoehnungskirche"
